	B_cells	CD4_T_cells	CD8_T_cells	CD8_T_cells_PD1_high	CD8_T_cells_PD1_low	Endothelium	Fibroblasts	Immune_general	Lymphocytes	Macrophages	Macrophages_M1	Macrophages_M2	Monocytes	Monocytic_cells	Myeloid_cells	NK_cells	Neutrophils	Non_plasma_B_cells	Other	Plasma_B_cells	Stromal_cells	T_cells	T_helpers	Tregs	Tumor
VIC-020-CL	10.3091213939501	16.6679591937182	4.71225934483259	3.902401047261	0.80985829757159	1.37489547232259	1.11211854737352	54.111118909272	31.8667621906552	22.3423291007613	13.9167156048348	8.42561349592647	0.415729884134884	22.7580589848961	22.6933924831012	0.534443467196423	0.380528881229654	4.28618305714898	42.1506147144808	6.02293833680109	2.48701401969612	21.3802185385508	9.68927103726652	6.97868815645165	42.1506147144808
VIC-025-CL	7.92767241821054	3.0095654864481	0.652466023624363	0.489106884137097	0.163359139487266	3.11279044560651	5.02316566028636	45.1782439244481	13.2300880780392	29.8379514085562	21.3058729970554	8.53207841150079	0.445991814085533	30.2839432226417	31.597822289514	0.293960511363119	0.908166598548289	7.89103204749548	48.788269633271	0.036640370715058	8.13595610589287	3.66203151007246	1.4566800208768	1.55288546557129	48.788269633271
VIC-026-CL	19.6796652431576	7.22134598347526	4.18974973515734	3.05427933956646	1.13547039559088	0.701406362330217	0.679927456597135	53.1836087013028	26.6166287302297	28.0388190197267	15.6085462251671	12.4302727945596	1.08051113754579	29.1193301572725	29.7921741950646	0.512838541277229	1.20722223603682	0.041008358689894	36.6885142846959	19.6386568844677	1.38133381892735	11.4110957186326	1.86257894714423	5.35876703633103	36.6885142846959
VIC-031-CL	14.7343959288186	2.89278820647491	1.91900586441509	1.30339733627634	0.61560852813875	0.345439341705657	6.31493360151246	28.4097318222342	15.8001314830854	12.7992029529663	7.97101131227078	4.82819164069557	0.298011420149275	13.0972143731156	13.4786191622271	0.10003291921485	0.222710796640498	0.116382019756368	60.3734789681023	14.6180139090623	6.66037294321812	4.81179407089	1.19694215861687	1.69584604785804	60.3734789681023
VIC-041-CL	13.3712045188074	15.0406825307858	13.7042842660677	12.3489464698833	1.35533779618441	0.822947024810119	0.611350271231037	73.9445267077571	41.0402237023587	32.8393539450023	17.8650390030005	14.9743149420017	1.12576903731583	33.9651229823181	33.5096772932337	0.541697467200869	0.661774575022448	2.73030585010017	21.2809363637566	10.6408986687072	1.43429729604116	28.7449667968534	9.33764012806682	5.70304240271896	21.2809363637566
VIC-017-CL	1.65067627013307	3.80017633164287	3.35931367612778	2.2529269324878	1.10638674363998	5.7797812524788	1.27781204288374	30.495350374802	8.9525049472059	24.2274456683881	7.32087505081194	16.9065706175762	0.352422438185159	24.5798681065733	23.6642397760467	0.238194668270267	0.195716170561321	0.056005529472049	59.1184614813288	1.59467074066102	7.05759329536254	7.15949000777066	1.80303833595953	1.99713799568335	59.1184614813288
VIC-033-CL	0.287576591142523	0.698440389682423	0.414904368926918	0.234196788100843	0.180707580826075	0.517937404820255	0.255341849977108	7.58096041037926	1.77870083239653	3.60022072172097	1.84756678132984	1.75265394039113	0.228458856035216	3.82867957775619	4.98644314300875	0.116960372217511	0.845432531184545	0.01726554453945	93.0347269142925	0.270311046603073	0.773279254797363	1.11334475860934	0.167077287688081	0.531363101994341	93.0347269142925
VIC-034-CL	0.083493380441896	0.332278611760056	0.192766541992642	0.109074929062346	0.083691612930296	0.175860416255611	0.046538684060251	53.8879513464954	0.681442973060461	58.5728164571852	29.5354435712426	29.0373728859426	0.073339706256738	58.646156163442	58.7831877472167	0.013117494931207	0.11365650678194	0.006743961061399	40.3961322003344	0.076749419380497	0.222399100315862	0.525045153752698	0.231708228092715	0.100570383667341	40.3961322003344
VIC-042-CL	2.33803672081777	15.5240435671266	5.18399092273893	3.94640355898098	1.23758736375796	0.347421767150818	0.240134221861719	67.83188661745	23.8084049858144	43.2328171128569	17.8846741215656	25.3481429912914	2.12050684888458	45.3533239617415	46.363751367046	0.578234288502827	1.12904457371711	1.42082489228288	29.3057699763427	0.91721182853489	0.587555989012537	20.7080344898655	7.15276835384555	8.37127521328104	29.3057699763427
VIC-055-CL	2.63043337945794	6.95611031496027	6.86458731130701	5.19840854652266	1.66617876478435	0.379744238851941	0.935910175591294	57.1833434246963	19.0985855475248	38.7640445798878	23.2868801676436	15.4771644122441	1.15421975170399	39.9182643315918	40.5801639098393	1.20976413843438	1.26210454473843	0.505416410156887	39.843081565067	2.12501696930105	1.31565441444324	13.8206976262673	2.96673035069143	3.98937996426883	39.843081565067
